,Zone de référence,Secteur institutionnel,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,CURRENCY
7248,Norway,Ménages,2009-09-01,0.013904336226460812,Millions,NOK
7249,Norway,Ménages,2009-12-01,0.01132837595855496,Millions,NOK
7250,Norway,Ménages,2010-03-01,0.020997286639657053,Millions,NOK
7251,Norway,Ménages,2010-06-01,-0.022577666577309197,Millions,NOK
7252,Norway,Ménages,2010-09-01,0.01907325579426744,Millions,NOK
7253,Norway,Ménages,2010-12-01,0.01324061029744028,Millions,NOK
7254,Norway,Ménages,2011-03-01,-0.007014195630146269,Millions,NOK
7255,Norway,Ménages,2011-06-01,0.012687656449173357,Millions,NOK
7256,Norway,Ménages,2011-09-01,0.0024033444641553547,Millions,NOK
7257,Norway,Ménages,2011-12-01,0.004063202480212524,Millions,NOK
7258,Norway,Ménages,2012-03-01,0.019080358473571257,Millions,NOK
7259,Norway,Ménages,2012-06-01,-0.0013098867838146067,Millions,NOK
7260,Norway,Ménages,2012-09-01,0.008627303665171393,Millions,NOK
7261,Norway,Ménages,2012-12-01,0.00264811617623395,Millions,NOK
7262,Norway,Ménages,2013-03-01,0.01070614603926101,Millions,NOK
7263,Norway,Ménages,2013-06-01,0.001071420784940269,Millions,NOK
7264,Norway,Ménages,2013-09-01,0.008699088089156426,Millions,NOK
7265,Norway,Ménages,2013-12-01,4.6266451579013435e-05,Millions,NOK
7266,Norway,Ménages,2014-03-01,-0.0030750345440189175,Millions,NOK
7267,Norway,Ménages,2014-06-01,0.013241468070427365,Millions,NOK
7268,Norway,Ménages,2014-09-01,0.007028857398467814,Millions,NOK
7269,Norway,Ménages,2014-12-01,0.008671685733257828,Millions,NOK
7270,Norway,Ménages,2015-03-01,0.002705391845948979,Millions,NOK
7271,Norway,Ménages,2015-06-01,0.004823589722066535,Millions,NOK
7272,Norway,Ménages,2015-09-01,0.014299864549582653,Millions,NOK
7273,Norway,Ménages,2015-12-01,-0.0012177509258142205,Millions,NOK
7274,Norway,Ménages,2016-03-01,0.00756279505355506,Millions,NOK
7275,Norway,Ménages,2016-06-01,-0.007052977712824315,Millions,NOK
7276,Norway,Ménages,2016-09-01,0.0029701629615674907,Millions,NOK
7277,Norway,Ménages,2016-12-01,0.009679473821689877,Millions,NOK
7278,Norway,Ménages,2017-03-01,0.01030466340521885,Millions,NOK
7279,Norway,Ménages,2017-06-01,0.0062722261223833176,Millions,NOK
7280,Norway,Ménages,2017-09-01,0.003027928999496776,Millions,NOK
7281,Norway,Ménages,2017-12-01,0.011832852056567367,Millions,NOK
7282,Norway,Ménages,2018-03-01,-0.0007578446784654025,Millions,NOK
7283,Norway,Ménages,2018-06-01,0.008920591510777065,Millions,NOK
7284,Norway,Ménages,2018-09-01,-0.002984499048481304,Millions,NOK
7285,Norway,Ménages,2018-12-01,0.0033634078047877214,Millions,NOK
7286,Norway,Ménages,2019-03-01,0.005908134789276431,Millions,NOK
7287,Norway,Ménages,2019-06-01,0.005987292277614964,Millions,NOK
7288,Norway,Ménages,2019-09-01,0.0054492452767687105,Millions,NOK
7289,Norway,Ménages,2019-12-01,-0.005323617753812182,Millions,NOK
7290,Norway,Ménages,2020-03-01,-0.03575894249586653,Millions,NOK
7291,Norway,Ménages,2020-06-01,-0.05447826136740985,Millions,NOK
7292,Norway,Ménages,2020-09-01,0.0915346910847985,Millions,NOK
7293,Norway,Ménages,2020-12-01,0.012561887195417842,Millions,NOK
7294,Norway,Ménages,2021-03-01,-0.0427514079723007,Millions,NOK
7295,Norway,Ménages,2021-06-01,0.02958876199360727,Millions,NOK
7296,Norway,Ménages,2021-09-01,0.05448350041829153,Millions,NOK
7297,Norway,Ménages,2021-12-01,0.013574064312071643,Millions,NOK
7298,Norway,Ménages,2022-03-01,-0.03475230789234174,Millions,NOK
7299,Norway,Ménages,2022-06-01,0.018020615001643314,Millions,NOK
7300,Norway,Ménages,2022-09-01,-0.0022150181938471736,Millions,NOK
7301,Norway,Ménages,2022-12-01,0.04885714437271571,Millions,NOK
7302,Norway,Ménages,2023-03-01,-0.06124275841490523,Millions,NOK
7303,Norway,Ménages,2023-06-01,0.005710591531085107,Millions,NOK
7304,France,Ménages,1980-03-01,,Millions,EUR
7305,France,Ménages,1980-06-01,-0.011212936104870841,Millions,EUR
7306,France,Ménages,1980-09-01,0.006425721903313253,Millions,EUR
7307,France,Ménages,1980-12-01,0.0076397226213202885,Millions,EUR
7308,France,Ménages,1981-03-01,-0.001996204217030284,Millions,EUR
7309,France,Ménages,1981-06-01,0.013792617537670138,Millions,EUR
7310,France,Ménages,1981-09-01,0.0021653922062612185,Millions,EUR
7311,France,Ménages,1981-12-01,0.012441599736990216,Millions,EUR
7312,France,Ménages,1982-03-01,0.008465611150151098,Millions,EUR
7313,France,Ménages,1982-06-01,0.011893741195411645,Millions,EUR
7314,France,Ménages,1982-09-01,-0.0007520236272150482,Millions,EUR
7315,France,Ménages,1982-12-01,0.013613785948592527,Millions,EUR
7316,France,Ménages,1983-03-01,-0.0016353003982401138,Millions,EUR
7317,France,Ménages,1983-06-01,-0.0009655778562450701,Millions,EUR
7318,France,Ménages,1983-09-01,-0.002526709789508419,Millions,EUR
7319,France,Ménages,1983-12-01,0.005345004431555056,Millions,EUR
7320,France,Ménages,1984-03-01,0.004014741167600144,Millions,EUR
7321,France,Ménages,1984-06-01,0.004603012336415135,Millions,EUR
7322,France,Ménages,1984-09-01,0.0019609870625947323,Millions,EUR
7323,France,Ménages,1984-12-01,-0.006181653062537595,Millions,EUR
7324,France,Ménages,1985-03-01,0.013676531401963565,Millions,EUR
7325,France,Ménages,1985-06-01,0.0038011426326347575,Millions,EUR
7326,France,Ménages,1985-09-01,0.004179951002786231,Millions,EUR
7327,France,Ménages,1985-12-01,0.01091541465304302,Millions,EUR
7328,France,Ménages,1986-03-01,0.00834875292055548,Millions,EUR
7329,France,Ménages,1986-06-01,0.014552393955014953,Millions,EUR
7330,France,Ménages,1986-09-01,0.003650945135820871,Millions,EUR
7331,France,Ménages,1986-12-01,0.0025427941016391564,Millions,EUR
7332,France,Ménages,1987-03-01,0.008124920290413007,Millions,EUR
7333,France,Ménages,1987-06-01,0.012965876602784032,Millions,EUR
7334,France,Ménages,1987-09-01,0.0022834286871551424,Millions,EUR
7335,France,Ménages,1987-12-01,0.018585591213533093,Millions,EUR
7336,France,Ménages,1988-03-01,-0.0008408816142282394,Millions,EUR
7337,France,Ménages,1988-06-01,0.005580078930707222,Millions,EUR
7338,France,Ménages,1988-09-01,0.013559078489421283,Millions,EUR
